Keyboard=2,138424376,138424457,138424457
Keyboard=1,138424376,138424466,138424466
4,138424430,0.099411685,0.099411685
10,138424432,0.126492788,0.126492788
4,138424531,0.099411685,0.099411685
10,138424533,0.126492788,0.126492788
4,138424632,0.024214602,0
10,138424634,0.12954018,0.12954018
4,138424732,0.001392986,0
10,138424734,0.064632563,0.064632563
4,138424833,0.001294212,0
10,138424835,0.0542662,0.0542662
4,138424934,0.004507778,0
10,138424936,0.029814958,0
4,138425035,0.001841768,0
10,138425037,0.017186512,0
4,138425135,0.00129583,0
10,138425137,0.015517307,0
4,138425236,0.003052864,0
10,138425238,0.00836743,0
4,138425337,6.49E-04,0
10,138425339,0.009983453,0
4,138425437,0.001765476,0
10,138425439,0.012422864,0
Keyboard=0,138425488,138425488,138425488
Keyboard=2,138425488,138425501,138425501
Keyboard=2,138425488,138425517,138425517
Keyboard=2,138425488,138425533,138425533
Keyboard=2,138425488,138425550,138425550
Keyboard=2,138425488,138425566,138425566
Keyboard=2,138425488,138425569,138425569
Keyboard=1,138425488,138425578,138425578
4,138425538,0.148306824,0.148306824
10,138425540,0.115782714,0.115782714
4,138425639,0.155675474,0.155675474
10,138425641,0.170599413,0.170599413
4,138425740,0.03169231,0
10,138425742,0.068910276,0.068910276
4,138425840,0.002625842,0
10,138425842,0.044407271,0
4,138425941,8.82E-04,0
10,138425943,0.023375513,0
4,138426042,6.30E-04,0
10,138426044,0.011544009,0
Keyboard=0,138426045,138426045,138426045
Keyboard=2,138426045,138426057,138426057
Keyboard=2,138426045,138426073,138426073
Keyboard=2,138426045,138426089,138426089
Keyboard=2,138426045,138426106,138426106
Keyboard=2,138426045,138426122,138426122
Keyboard=2,138426045,138426139,138426139
Keyboard=2,138426045,138426142,138426142
Keyboard=1,138426045,138426151,138426151
4,138426142,0.536930045,0.536930045
10,138426144,0.218297585,0.218297585
4,138426243,0.57561261,0.57561261
10,138426245,0.410600613,0.410600613
4,138426344,0.031422367,0
10,138426346,0.093975223,0.093975223
4,138426445,0.003561873,0
10,138426447,0.079764562,0.079764562
4,138426545,5.56E-04,0
10,138426547,0.072661084,0.072661084
4,138426646,4.06E-04,0
10,138426648,0.034374006,0
Keyboard=0,138426683,138426683,138426683
Keyboard=2,138426683,138426695,138426695
Keyboard=2,138426683,138426711,138426711
Keyboard=2,138426683,138426727,138426727
Keyboard=2,138426683,138426744,138426744
Keyboard=2,138426683,138426760,138426760
Keyboard=2,138426683,138426776,138426776
Keyboard=2,138426683,138426789,138426789
Keyboard=1,138426683,138426796,138426796
4,138426747,0.31092836,0.31092836
10,138426749,0.622844075,0.622844075
4,138426847,0.289738584,0.289738584
10,138426849,0.834501503,0.834501503
4,138426948,0.022684991,0
10,138426950,0.255949146,0.255949146
4,138427049,0.005322912,0
10,138427051,0.038155483,0
4,138427149,0.001305139,0
10,138427151,0.040130132,0
Keyboard=0,138427239,138427239,138427239
Keyboard=2,138427239,138427251,138427251
Keyboard=2,138427239,138427267,138427267
Keyboard=2,138427239,138427284,138427284
Keyboard=2,138427239,138427300,138427300
Keyboard=2,138427239,138427316,138427316
Keyboard=1,138427239,138427329,138427329
4,138427250,0.024896196,0
10,138427252,0.030076309,0
4,138427351,0.356658409,0.356658409
10,138427353,0.172464497,0.172464497
4,138427452,0.323690679,0.323690679
10,138427454,0.602412385,0.602412385
4,138427552,0.021582946,0
10,138427554,0.549807748,0.549807748
4,138427653,0.002901297,0
10,138427655,0.018515238,0
4,138427754,0.001877761,0
10,138427756,0.031742705,0
4,138427854,5.50E-04,0
10,138427856,0.009251817,0
Keyboard=0,138427926,138427926,138427926
Keyboard=2,138427926,138427938,138427938
Keyboard=2,138427926,138427954,138427954
Keyboard=2,138427926,138427971,138427971
Keyboard=2,138427926,138427987,138427987
Keyboard=2,138427926,138427999,138427999
Keyboard=1,138427926,138428007,138428007
4,138427955,0.051534741,0.051534741
10,138427957,0.02602693,0
4,138428056,0.023602797,0
10,138428058,0.041920317,0
4,138428157,0.017226632,0
10,138428159,0.227937116,0.227937116
4,138428257,0.003082011,0
10,138428259,0.033724389,0
4,138428358,5.68E-04,0
10,138428360,0.033191811,0
4,138428459,0.001355286,0
10,138428461,0.023490828,0
4,138428559,9.64E-04,0
